date,cases,deaths,cases_smoothed,deaths_smoothed,population,cases_per_100000,deaths_per_100000,vaccinated,fraction_vaccinated,week,region
2021-06-26,8,0,213.14285714285714,1.0,10230185,2.083470212345692,0.00977499429384708,4636429,0.45321067018827127,78,Sweden
2021-06-27,8,0,239.0,1.1428571428571428,10230185,2.3362236362294526,0.011171422050110949,4925216,0.48143958295964345,78,Sweden
2021-06-28,443,2,226.28571428571428,1.0,10230185,2.211941565921968,0.00977499429384708,4925216,0.48143958295964345,78,Sweden
2021-06-29,250,1,268.57142857142856,0.8571428571428571,10230185,2.625284181776073,0.008378566537583211,4925216,0.48143958295964345,78,Sweden
2021-06-30,560,1,267.85714285714283,1.1428571428571428,10230185,2.6183020429947534,0.011171422050110949,4925216,0.48143958295964345,78,Sweden
2021-07-01,284,1,267.0,1.1428571428571428,10230185,2.609923476457171,0.011171422050110949,4925216,0.48143958295964345,78,Sweden
2021-07-02,327,1,263.0,0.8571428571428571,10230185,2.5708234992817824,0.008378566537583211,4925216,0.48143958295964345,78,Sweden
2021-07-03,3,2,280.0,1.0,10230185,2.7369984022771825,0.00977499429384708,4925216,0.48143958295964345,79,Sweden
2021-07-04,2,0,236.85714285714286,0.8571428571428571,10230185,2.3152772198854943,0.008378566537583211,5336105,0.5216039592636887,79,Sweden
2021-07-05,415,0,230.14285714285714,0.7142857142857143,10230185,2.2496451153410923,0.006982138781319344,5336105,0.5216039592636887,79,Sweden
2021-07-06,369,2,216.0,0.5714285714285714,10230185,2.1113987674709693,0.005585711025055474,5336105,0.5216039592636887,79,Sweden
2021-07-07,258,0,216.57142857142858,0.2857142857142857,10230185,2.116984478496025,0.002792855512527737,5336105,0.5216039592636887,79,Sweden
2021-07-08,237,0,216.28571428571428,0.42857142857142855,10230185,2.114191622983497,0.0041892832687916055,5336105,0.5216039592636887,79,Sweden
2021-07-09,228,0,220.14285714285714,0.42857142857142855,10230185,2.1518951724026216,0.0041892832687916055,5336105,0.5216039592636887,79,Sweden
2021-07-10,7,0,220.28571428571428,0.14285714285714285,10230185,2.153291600158885,0.0013964277562638686,5336105,0.5216039592636887,80,Sweden
2021-07-11,0,1,233.28571428571428,0.14285714285714285,10230185,2.2803665259788977,0.0013964277562638686,5722573,0.5593811842112337,80,Sweden
2021-07-12,442,0,251.71428571428572,0.2857142857142857,10230185,2.4605057065369365,0.002792855512527737,5722573,0.5593811842112337,80,Sweden
2021-07-13,370,0,267.2857142857143,0.2857142857142857,10230185,2.612716331969698,0.002792855512527737,5722573,0.5593811842112337,80,Sweden
2021-07-14,349,0,267.85714285714283,0.42857142857142855,10230185,2.6183020429947534,0.0041892832687916055,5722573,0.5593811842112337,80,Sweden
